id_canton,name_canton,recaudacion_fiscal_impuestos,empleo_adecuado_pleno,subempleo,empleo_bruto,empleo_no_remunerado,anios_escolaridad,desempleo,pobreza_por_ingreso,pobreza_extrema_por_ingreso,otro_empleo_no_pleno
0101,Cuenca,50759705.61,56.84,9.24,63.14,8.19,11.69,3.05,6.12,2.03,22.68
0102,Girón,65868.13,11.76,22.06,68.04,19.12,6.42,2.94,43.08,6.15,44.12
0103,Gualaceo,245077.24,20.51,23.08,77.55,10.26,7.64,2.56,15.87,,43.59
0104,Nabón,23483.35,24.44,14.44,75.42,25.56,5.84,1.11,30.06,6.13,34.44
0105,Paute,425412.44,27.69,12.31,80.25,12.31,7.29,,5.71,,47.69
0106,Pucará,17805.42,17.65,5.88,70,47.06,8.38,17.65,53.57,17.86,11.76
0107,San Fernando,10790.62,31.25,,75,12.5,10.5,6.25,,,50
0108,Santa Isabel,112477.82,33.33,7.41,75,22.22,7.32,,23.26,9.3,37.04
0109,Sígsig,87970.47,21.79,15.38,85.71,15.38,7.28,,24.14,17.24,47.44
0110,Oña,12035.77,,,,,,,,,
0111,Chordeleg,37484.37,30,20,85.71,13.33,7.04,,29.17,,36.67
0112,El Pan,4159.21,10,15,74.07,15,6.87,,34.29,,60
0113,Sevilla de Oro,58080.32,20.69,10.34,72.5,34.48,7.47,,21.57,7.84,34.48
0114,Guachapala,7435.66,,,,,,,,,
0115,Camilo Ponce Enríquez,706333.6,45.95,13.51,71,6.76,8.85,4.05,15.33,3.33,29.73
0201,Guaranda,449903.95,28.32,15.41,68.5,20.07,8.62,1.79,23.15,0.93,34.41
0202,Chillanes,22732.93,15.38,30.77,57.78,19.23,7.87,,25.93,24.07,34.62
0203,San José de Chimbo,67645.62,,,,,,,,,
0204,Echeandía,41347.59,29.03,17.74,70.24,19.35,10.42,4.84,35.14,7.21,29.03
0205,San Miguel,73225.12,20.55,10.96,67.31,24.66,8.59,4.11,27.78,7.94,36.99
0206,Caluma,63859.54,15.79,15.79,76,15.79,7.83,,19.35,,52.63
0207,Las Naves,14050.69,,,,,,,,,
0301,Azogues,1006220.6,29.91,14.53,67.47,23.08,9.11,4.27,19.76,6.75,28.21
0302,Biblián,139447.42,20.42,7.04,79.33,26.76,7.89,,23.29,4.57,45.77
0303,Cañar,538942.66,17.09,16.46,85.71,31.01,6.83,1.27,29.88,11.62,34.18
0304,La Troncal,917631.7,45.1,25.49,47.57,3.92,8.23,3.92,5.67,2.13,21.57
0305,El Tambo,58635.56,23.08,3.85,75,23.08,6.04,7.69,13.64,,42.31
0306,Deleg,22299.15,20,10,58.82,20,8.14,,25,,50
0307,Suscal,19837.48,,,,,,,,,
0401,Tulcán,1012454.83,30.46,18.78,62.33,14.21,9.81,5.08,33.07,18.52,30.96
0402,Bolívar (Carchi),48724.44,24.44,13.33,67.69,13.33,9.15,2.22,34.18,15.19,46.67
0403,Espejo,68532.41,21.74,21.74,60,8.7,8.69,8.7,47.73,29.55,39.13
0404,Mira,37934.85,13.33,,83.33,33.33,6.27,,52.63,31.58,53.33
0405,Montúfar,185242.32,13.16,26.32,66.67,9.21,8.04,7.89,45.26,27.01,43.42
0406,San Pedro de Huaca,31467.49,9.09,30.3,61.22,9.09,8.44,9.09,61.29,19.35,42.42
0501,Latacunga,7214662.41,34.92,15.84,77.63,18.7,9.98,1.34,17.97,8.05,29.01
0502,La Maná,353682.27,27.97,21.19,65.88,13.56,7.87,5.08,23.15,4.63,32.2
0503,Pangua,75694.37,18.18,10.61,82.28,28.79,6.75,1.52,34.95,9.71,40.91
0504,Pujilí,177003.02,16.55,17.24,90.57,35.86,6.64,0.69,51.21,33.82,29.66
0505,Salcedo,477374.41,16.96,17.54,90.48,25.73,7.86,,33.88,13.47,39.77
0506,Saquisilí,86031.35,22.22,25,90,30.56,5.97,,42.59,31.48,22.22
0507,Sigchos,35356.43,5.56,3.7,94.74,61.11,4.36,,82.67,60,29.63
0601,Riobamba,4140957.48,31.88,13.37,71.08,23.14,10.8,2.06,17.83,6.09,29.56
0602,Alausí,84851.17,9.52,14.81,84,40.21,6.25,,56.67,26.97,35.45
0603,Colta,65683.59,3.85,13.19,91.46,43.41,5.33,,55.21,19.31,39.56
0604,Chambo,58957.18,23.08,30.77,100,23.08,4.89,,10.53,,23.08
0605,Chunchi,65998.08,28,12,86.21,32,5,,29.27,,28
0606,Guamote,61048.99,6.94,11.11,96,48.61,4.15,,64.46,34.71,33.33
0607,Guano,252608.21,18.6,13.95,85.5,32.56,7.9,0.58,34.5,5.24,34.3
0608,Pallatanga,19733.18,23.08,23.08,63.16,7.69,6.5,7.69,38.1,38.1,38.46
0609,Penipe,18530.79,16.36,25.45,76.39,10.91,7.27,,41.57,19.1,47.27
0610,Cumandá,77778.86,33.33,28.57,54.29,,9.32,9.52,23.08,11.54,28.57
0701,Machala,9600423.66,54.13,13.57,60.57,4.2,11.63,3.83,10.12,3.07,24.19
0702,Arenillas,285246.13,21.21,37.88,57.55,7.58,9.51,7.58,31.06,19.7,25.76
0703,Atahualpa,11685.52,50,12.5,57.14,,10.86,,,,37.5
0704,Balsas,105293.27,38.46,7.69,61.9,30.77,7.18,,22.22,14.81,23.08
0705,Chilla,91854.98,,,,,,,,,
0706,El Guabo,783573.72,54.41,13.24,62.26,7.35,10.09,2.94,4.05,,22.06
0707,Huaquillas,567419.67,17.07,20.73,62.9,12.2,9.04,4.88,33.71,6.29,45.12
0708,Marcabelí,28158.62,,,,,,,,,
0709,Pasaje,572500.49,47.62,12.7,62,3.97,10.29,1.59,7.34,0.77,34.13
0710,Piñas,285169.18,35.42,8.33,62.16,25,10.18,4.17,6.32,3.16,27.08
0711,Portovelo,282909.11,,,,,,,,,
0712,Santa Rosa,1113944.65,50.88,16.67,69.51,7.02,11.04,,7.88,1.97,25.44
0713,Zaruma,703646.61,56.79,9.88,66.95,8.64,10.36,2.47,8.61,5.3,22.22
0714,Las Lajas,14046.24,,,,,,,,,
0801,Esmeraldas,3415028.95,34.64,16.34,45.98,3.27,10.83,14.05,40.62,20.62,31.7
0802,Eloy Alfaro,3156744.05,,,,,,,,,
0803,Muisne,71076.91,4.17,25,56.1,8.33,5.3,4.17,73.64,61.82,58.33
0804,Quinindé,558721.25,30.51,7.2,56.62,13.14,7.8,2.12,37.65,11.41,47.03
0805,San Lorenzo,225859.42,,,,,,,,,
0806,Atacames,245822.28,15.38,20,54.08,10.77,10.28,18.46,56.12,29.5,35.38
0807,Rioverde,89219.72,10.56,26.09,61,19.25,7.08,8.7,64.82,45.71,35.4
0808,La Concordia,88.44,,,,,,,,,
0901,Guayaquil,290445395.5,51.12,16.37,59.64,4.2,11.46,2.9,11.22,1.52,23.96
0902,Alfredo Baquerizo Moreno,47204.66,40,25,50.67,5,11.38,5,25,,25
0903,Balao,109087.79,37.5,16.67,68.75,4.17,8.22,8.33,15.22,,33.33
0904,Balzar,105468.96,20.93,31.78,57.8,9.3,7.27,2.33,37.54,2.46,35.66
0905,Colimes,55277.67,19.61,52.94,44.14,3.92,5.96,3.92,31.13,7.28,17.65
0906,Daule,2043620.56,32.08,33.49,56.13,6.13,10.42,2.83,25.16,5.03,25.47
0907,Durán,14167115.29,50,18.81,63.43,3.71,11.28,2.97,11.94,3.11,24.5
0908,El Empalme,271894.7,28.7,34.26,58.38,11.11,8.69,,18.03,2.05,25.93
0909,El Triunfo,619483.31,46.25,17.5,56.62,3.75,9.63,3.75,24.86,1.62,28.75
0910,Milagro,1819795.33,52.55,18.98,53.71,2.55,11.76,2.19,10.79,0.62,22.99
0911,Naranjal,593485.37,32.65,25.85,64.41,4.76,7.87,2.72,12.27,,34.01
0912,Naranjito,114926.07,25,12.5,55.56,15,7.83,,18.56,4.12,47.5
0913,Palestina,35885.53,18.18,31.82,52.63,4.55,7.55,9.09,20.75,,36.36
0914,Pedro Carbo,103484.03,11.36,54.55,67.69,13.64,5,,34.07,,20.45
0916,Samborondón,11562954.1,27.34,32.81,57.77,3.91,8.73,7.03,22.64,13.21,28.91
0918,Santa Lucía,132493.28,18.52,49.38,48.78,6.17,5.86,1.23,47.12,9.13,24.69
0919,Salitre,56911.22,11.11,46.91,52.13,4.32,7.7,1.85,42.96,11.81,35.8
0920,Yaguachi,1218579.32,31.4,18.6,58.16,9.3,9.36,4.65,23.89,6.11,32.56
0921,Playas,215400.28,45.24,14.29,62.12,4.76,9.57,2.38,14.77,9.09,33.33
0922,Simón Bolívar,106364.59,34.85,24.24,57.8,1.52,8,4.55,22.06,,34.85
0923,Coronel Marcelino Maridueña,472043.73,,,,,,,,,
0924,Lomas de Sargentillo,65298.23,56.52,26.09,51.11,4.35,7.88,,44.78,14.93,13.04
0925,Nobol,168703.04,27.59,44.83,53.7,3.45,6.86,,36.23,,24.14
0927,General Antonio Elizalde,74057.25,,54.55,52.38,9.09,7.72,,54.84,16.13,36.36
0928,Isidro Ayora,547365.31,22.5,55,55.56,7.5,6.58,,16,,15
1001,Ibarra,3979913.92,39.55,17.73,59.77,7.73,10.68,4.09,21.29,12.86,30.91
1002,Antonio Ante,454008.46,29.03,6.45,58.57,10.75,8.76,11.83,30.39,18.78,41.94
1003,Cotacachi,172083.17,26.67,13.33,52.08,16,6.77,,49.47,14.36,44
1004,Otavalo,2399825.86,33.5,8.87,56.23,15.27,8.2,4.43,23.81,13.61,37.93
1005,Pimampiro,29505.75,24.19,14.52,70.59,12.9,7.61,3.23,42.42,18.18,45.16
1006,San Miguel de Urcuquí,126936.18,13.33,13.33,73.77,26.67,7.23,,34.62,23.08,46.67
1101,Loja,4594172.91,33.43,15.84,69.89,15.25,11.01,4.69,16.56,6.79,30.79
1102,Calvas,58186.66,29.11,2.53,78,29.11,9.02,1.27,26.47,12.5,37.97
1103,Catamayo,206882.82,30,40,58.82,,10.79,,8.89,8.89,30
1104,Celica,34177.88,21.05,18.42,67.86,13.16,7.42,,50.7,12.68,47.37
1105,Chaguarpamba,23743.46,15.38,11.54,63.41,42.31,8.24,,38.18,16.36,30.77
1106,Espíndola,17498.35,9.38,9.38,81.58,25,7.3,3.12,26.67,,53.12
1107,Gonzanamá,42628.5,17.65,13.73,78.46,23.53,9.08,,30.67,16,45.1
1108,Macará,97862.49,20.75,8.49,68.06,23.58,8.53,7.55,30.51,6.21,39.62
1109,Paltas,65194.28,4.23,9.86,66.04,45.07,6.72,1.41,61.83,6.11,39.44
1110,Puyango,47299.83,29.41,17.65,68,17.65,10.41,,6.25,6.25,35.29
1111,Saraguro,66990.64,,30.77,92.86,23.08,3.61,,52.94,32.35,46.15
1112,Sozoranga,17993.08,42.86,14.29,63.64,4.76,10.5,,4.76,,38.1
1113,Zapotillo,44450.01,,9.68,79.49,25.81,5.84,,73.44,28.12,64.52
1114,Pindal,29600.81,9.68,12.9,83.78,25.81,6.66,,16.67,6.25,51.61
1115,Quilanga,8182.79,8.33,16.67,63.16,41.67,5.94,,39.13,39.13,33.33
1116,Olmedo (Loja),3402.56,,,69.23,22.22,6.62,,23.08,,77.78
1201,Babahoyo,1428018.95,42.98,22.81,51.83,3.95,9.38,0.88,17.63,2.27,29.39
1202,Baba,123215.23,28.57,24.29,54.76,4.29,5.78,1.43,25.9,3.01,41.43
1203,Montalvo,98636.47,36.84,15.79,47.37,5.26,9.97,5.26,6.52,,36.84
1204,Puebloviejo,252252.37,38.36,31.51,57.48,5.48,8.18,,14.47,,24.66
1205,Quevedo,2823927.5,45.05,18.68,57.61,6.04,10.94,2.2,12.06,2.01,28.02
1206,Urdaneta,127040.01,22.22,16.67,60.67,7.41,9.14,,19.17,5,53.7
1207,Ventanas,510579.66,22.79,33.09,61.79,5.15,9.15,3.68,27.6,4.66,33.82
1208,Vinces,226885.74,27.66,29.79,52.54,1.06,9.03,1.06,19.07,1.4,40.43
1209,Palenque,25799.92,16.98,28.3,59.77,16.98,6.48,1.89,30.7,,35.85
1210,Buena Fe,277021.75,50,29.63,54.74,,8.63,3.7,15.67,4.48,16.67
1211,Valencia,236366.42,60.53,11.84,56.72,2.63,8.28,,10.53,,25
1212,Mocache,162854.79,9.88,27.16,62.02,12.35,6.94,1.23,32.58,5.06,49.38
1213,Quinsaloma,85096.52,19.05,28.57,77.78,28.57,7.18,,13.11,4.92,23.81
1301,Portoviejo,3822770.47,38.19,24.02,57.76,3.74,10.37,3.35,13.12,1.95,29.53
1302,Bolívar (Manabí),145779.22,14.66,25.86,62.78,10.34,7.3,2.59,33.61,6.64,46.55
1303,Chone,479331.13,23.36,16.8,56.57,16.39,8.35,1.23,19.41,3.14,41.8
1304,El Carmen,432170.67,20,28,58.41,12.8,6.57,,31.89,6.31,39.2
1305,Flavio Alfaro,31442.21,30.77,30.77,66.67,15.38,9.73,,34.09,,23.08
1306,Jipijapa,179799.38,20.41,15.31,55.68,27.55,8.13,,46.93,13.16,36.73