Title,Worldwide_Gross,Release_Date,MPAA_Rating,Major_Genre,Rotten_Tomatoes_Rating,IMDB_Rating
The Ring Two,161941727,Mar 18 2005,PG-13,Horror,20,5.1
The Adventures of Rocky & Bullwinkle,35129610,Jun 30 2000,PG,Comedy,42,4.1
Reno 911!: Miami,20342161,Feb 23 2007,R,Comedy,35,5.8
Rounders,22921898,Sep 11 1998,R,Drama,64,7.3
Rendition,20437142,Oct 19 2007,R,Thriller/Suspense,46,6.9
The Rocker,8767338,Aug 20 2008,PG-13,Comedy,40,6.3
The Rookie,80693537,Mar 29 2002,G,Drama,82,5.5
Romeo Must Die,91036760,Mar 22 2000,R,Action,33,5.9
Ronin,41610884,Sep 25 1998,R,Action,68,7.2
Rat Race,86607223,Aug 17 2001,PG-13,Comedy,43,6.4
Rescue Dawn,7037886,Jul 04 2007,PG-13,Action,,7.5
Remember the Titans,136706683,Sep 29 2000,PG,Drama,72,7.5
Righteous Kill,76781410,Sep 12 2008,R,Thriller/Suspense,20,6
Road Trip,119739110,May 19 2000,R,Comedy,59,6.4
Rules of Engagement,71719931,Apr 07 2000,R,Thriller/Suspense,37,6.2
The Rundown,80831893,Sep 26 2003,PG-13,Action,,6.6
Running With Scissors,7213629,Oct 20 2006,R,Comedy,30,6
Rush Hour 2,347425832,Aug 03 2001,PG-13,Action,51,6.4
Rush Hour 3,253025968,Aug 10 2007,PG-13,Action,19,6
Rush Hour,245300000,Sep 18 1998,PG-13,Action,60,6.8
Rushmore,19080435,Dec 11 1998,R,Black Comedy,87,7.8
Sahara,121671925,Apr 08 2005,PG-13,Adventure,39,5.9
The Saint,169400000,Apr 04 1997,PG-13,Action,30,5.9
I Am Sam,40270895,Dec 28 2001,PG-13,Drama,34,7.4
Saw,103096345,Oct 29 2004,R,Horror,48,7.7
Saw II,152925093,Oct 28 2005,R,Horror,36,6.8
Saw III,163876815,Oct 27 2006,R,Horror,25,6.3
Saw VI,61259697,Oct 23 2009,R,Horror,42,6.2
Seabiscuit,148336445,Jul 25 2003,PG-13,Drama,77,7.4
Scary Movie 2,141189101,Jul 04 2001,R,Comedy,14,4.7
Scary Movie 3,155200000,Oct 24 2003,PG-13,Comedy,37,5.4
Scooby-Doo 2: Monsters Unleashed,181185387,Mar 26 2004,PG,Comedy,,4.8
Scooby-Doo,276294164,Jun 14 2002,PG,Comedy,28,4.7
About Schmidt,105823486,Dec 13 2002,R,Drama,85,7.3
The School of Rock,131161177,Oct 03 2003,PG-13,Comedy,,7.2
School for Scoundrels,17807569,Sep 29 2006,PG-13,Comedy,26,6
The Score,113542091,Jul 13 2001,R,Thriller/Suspense,74,6.8
Scream,173046663,Dec 20 1996,R,Horror,81,2.9
Scream 2,101363301,Dec 12 1997,R,Horror,80,5.9
Scream 3,161838076,Feb 04 2000,R,Horror,38,5.3
The Scorpion King,164529000,Apr 19 2002,PG-13,Action,40,5.3
Stardust,135556675,Aug 10 2007,PG-13,Adventure,76,7.9
Selena,35450113,Mar 21 1997,PG,Drama,63,6.3
September Dawn,901857,Aug 24 2007,R,Western,13,5.5
You Got Served,48066497,Jan 30 2004,PG-13,Drama,16,2.6
Seven Years in Tibet,131445884,Oct 10 1997,PG-13,Drama,59,6.7
Swordfish,147080413,Jun 08 2001,R,Action,25,6.3
Something's Gotta Give,266685242,Dec 12 2003,PG-13,Romantic Comedy,70,6.8
Shaft,107190108,Jun 16 2000,R,Action,68,5.9
Scary Movie,277200000,Jul 07 2000,R,Comedy,53,6
She's All That,63465522,Jan 29 1999,PG-13,Romantic Comedy,38,5.4
Shallow Hal,70836296,Nov 09 2001,PG-13,Romantic Comedy,50,6
Shakespeare in Love,279500000,Dec 11 1998,R,Romantic Comedy,93,7.4
In the Shadow of the Moon,1134358,Sep 07 2007,PG,Documentary,94,8
Shooter,95203582,Mar 23 2007,R,Thriller/Suspense,48,7.2
Shrek,484399218,May 18 2001,PG,Adventure,89,8
Shrek 2,919838758,May 19 2004,PG,Adventure,89,7.5
Shrek the Third,798958162,May 18 2007,PG,Adventure,41,6.1
Shrek Forever After,729395990,May 21 2010,PG,Adventure,,6.7
Shark Tale,367275019,Oct 01 2004,PG,Adventure,35,5.9
Showtime,78948765,Mar 15 2002,PG-13,Comedy,24,5.3
The Siege,116625798,Nov 06 1998,R,Action,44,
Signs,408265690,Aug 02 2002,PG-13,Thriller/Suspense,74,6.9
Simon Birch,18253415,Sep 11 1998,PG,Drama,44,6.7
The Simpsons Movie,527071022,Jul 27 2007,PG-13,Comedy,89,7.6
Sinbad: Legend of the Seven Seas,80767884,Jul 02 2003,PG,Adventure,,6.6
Sin City,158753820,Apr 01 2005,R,Action,77,8.3
The Sixth Sense,672806292,Aug 06 1999,PG-13,Thriller/Suspense,85,8.2
The Skulls,35007180,Mar 31 2000,PG-13,Thriller/Suspense,8,5.3
Sky High,81627454,Jul 29 2005,PG,Adventure,73,6.6
Sleepy Hollow,207068340,Nov 19 1999,R,Horror,68,7.5
The Secret Life of Bees,39612166,Oct 17 2008,PG-13,Drama,57,7
Hannibal,350100280,Feb 09 2001,R,Horror,39,6.4
Slow Burn,1237615,Apr 13 2007,R,Thriller/Suspense,12,5.9
Slumdog Millionaire,365257315,Nov 12 2008,R,Drama,94,8.3
Small Soldiers,71743823,Jul 10 1998,PG-13,Comedy,46,5.9
Mr. And Mrs. Smith,478336279,Jun 10 2005,PG-13,Action,,4.7
Smokin' Aces,56047261,Jan 26 2007,R,Comedy,28,6.6
Someone Like You,38684906,Mar 30 2001,PG-13,Romantic Comedy,41,5.8
There's Something About Mary,360099999,Jul 15 1998,R,Romantic Comedy,83,7.2
Snake Eyes,103891409,Aug 07 1998,R,Thriller/Suspense,41,5.8
Snakes on a Plane,62020814,Aug 18 2006,R,Thriller/Suspense,68,6
Lemony Snicket's A Series of Unfortunate Events,201627117,Dec 17 2004,PG,Comedy,71,6.9
Shanghai Knights,60470220,Feb 07 2003,PG-13,Adventure,66,6.2
Shanghai Noon,71189835,May 26 2000,PG-13,Western,78,6.6
Snow Dogs,115010692,Jan 18 2002,PG,Comedy,23,4.9
Sunshine,32030610,Jul 20 2007,R,Thriller/Suspense,74,7.3
Snatch,83593107,Dec 08 2000,R,Black Comedy,,8.2
Snow Day,62452927,Feb 11 2000,PG,Comedy,26,4.4
The Soloist,38286958,Apr 24 2009,PG-13,Drama,,6.7
The Sorcerer's Apprentice,200092818,Jul 14 2010,PG,Adventure,42,6.4
Soul Food,43492389,Sep 26 1997,R,Comedy,80,6.4
"South Park: Bigger, Longer & Uncut",52037603,Jun 30 1999,R,Comedy,80,
Space Jam,250200000,Nov 15 1996,PG,Comedy,36,5.6
Spanglish,54344321,Dec 17 2004,PG-13,Comedy,52,6.7
Spawn,87949859,Jul 31 1997,PG-13,Action,20,4.8
Superbad,169863226,Aug 17 2007,R,Comedy,87,7.8
SpongeBob SquarePants,140416609,Nov 19 2004,PG,Adventure,,
Space Cowboys,128874043,Aug 04 2000,PG-13,Adventure,79,6.3
Speed II: Cruise Control,150468000,Jun 13 1997,PG-13,Action,,3.4
Sphere,50168294,Feb 13 1998,PG-13,Horror,12,5.6
Spiceworld,56042592,Jan 23 1998,PG,Comedy,,2.9
Spider-Man 2,783705001,Jun 30 2004,PG-13,Adventure,93,7.7
Spider-Man 3,890871626,May 04 2007,PG-13,Adventure,63,6.4
Spider-Man,821708551,May 03 2002,PG-13,Adventure,89,7.4
Scott Pilgrim vs. The World,43149143,Aug 13 2010,PG-13,Comedy,81,8.1
See Spot Run,43057552,Mar 02 2001,PG,Comedy,24,4.9
Superman Returns,391120000,Jun 28 2006,PG-13,Adventure,76,6.6
Spy Game,143049560,Nov 21 2001,R,Action,65,6.9
Spy Kids 2: The Island of Lost Dreams,119721296,Aug 07 2002,PG,Adventure,75,
Spy Kids 3-D: Game Over,167851995,Jul 25 2003,PG,Adventure,,4.1
Spy Kids,197692062,Mar 30 2001,PG,Adventure,93,5.7
Serendipity,75294136,Oct 05 2001,PG-13,Romantic Comedy,58,6.6
Superstar,30628981,Oct 08 1999,PG-13,Comedy,33,6
Spirit: Stallion of the Cimarron,106515310,May 24 2002,G,Adventure,,6.6
Star Wars Ep. II: Attack of the Clones,656695615,May 16 2002,PG,Adventure,,
Star Wars Ep. III: Revenge of the Sith,848998877,May 19 2005,PG-13,Adventure,,
Starship Troopers,121100000,Nov 07 1997,R,Action,60,7.1
Stay Alive,23187506,Mar 24 2006,PG-13,Horror,9,4.5
How Stella Got Her Groove Back,37672944,Aug 14 1998,R,Drama,49,5.1
The Stepford Wives,96221971,Jun 11 2004,PG-13,Comedy,26,5.1
Stepmom,119709917,Dec 25 1998,PG-13,Drama,43,6.2
Stomp the Yard,76356221,Jan 12 2007,PG-13,Drama,26,4.3
Stranger Than Fiction,45235190,Nov 10 2006,PG-13,Comedy,72,7.8
Stick It,30399714,Apr 28 2006,PG-13,Comedy,31,5.9
Stigmata,89441732,Sep 10 1999,R,Horror,22,6
A Stir of Echoes,21133087,Sep 10 1999,R,Thriller/Suspense,,7.1
Stuart Little,298800000,Dec 17 1999,PG,Comedy,65,5.8
Stuart Little 2,166000000,Jul 19 2002,PG,Comedy,83,5.6
The Perfect Storm,328711434,Jun 30 2000,PG-13,Drama,47,6.2
The Story of Us,27100030,Oct 15 1999,R,Romantic Comedy,28,5.6
State of Play,91445389,Apr 17 2009,PG-13,Thriller/Suspense,84,7.3
The Sisterhood of the Traveling Pants 2,44154645,Aug 06 2008,PG-13,Adventure,64,6.2
Step Up,115328121,Aug 11 2006,PG-13,Drama,19,6.1
Star Trek: First Contact,150000000,Nov 22 1996,PG-13,Adventure,,7.6
Star Trek: Insurrection,117800000,Dec 11 1998,PG,Adventure,,6.4
Star Trek: Nemesis,67312826,Dec 13 2002,PG-13,Adventure,,6.4
The Strangers,80597610,May 30 2008,R,Thriller/Suspense,44,6
Star Wars Ep. I: The Phantom Menace,924288297,May 19 1999,PG,Adventure,,
Stuck On You,63537164,Dec 12 2003,PG-13,Comedy,60,5.9
The Sum of All Fears,193500000,May 31 2002,PG-13,Action,59,6.3
Surf's Up,145395745,Jun 08 2007,PG,Adventure,77,7
Surrogates,119668350,Sep 25 2009,PG-13,Action,39,6.3
Summer of Sam,19288130,Jul 02 1999,R,Drama,50,6.5
Saving Private Ryan,481635085,Jul 24 1998,R,Drama,91,8.5
S.W.A.T.,198100000,Aug 08 2003,PG-13,Action,48,5.9
Sideways,109705641,Oct 22 2004,R,Drama,97,7.8
Shall We Dance?,118097882,Oct 15 2004,PG-13,Romantic Comedy,,7.6
Secret Window,92958031,Mar 12 2004,PG-13,Thriller/Suspense,46,6.5
Swimfan,28563926,Sep 06 2002,PG-13,Drama,15,4.6
Sweet November,65754228,Feb 16 2001,PG-13,Drama,16,6
Sydney White,12778631,Sep 21 2007,PG-13,Comedy,37,6.2
Star Wars: The Clone Wars,68161554,Aug 15 2008,PG,Adventure,19,5.4
"Six Days, Seven Nights",164800000,Jun 12 1998,PG-13,Romantic Comedy,37,4.7
Syriana,95024620,Nov 23 2005,R,Thriller/Suspense,72,7.1
The Talented Mr. Ripley,81292135,Dec 25 1999,R,Drama,82,7.2
The Best Man,34572780,Oct 22 1999,R,Romantic Comedy,71,6.1
Book of Shadows: Blair Witch 2,47721314,Oct 27 2000,R,Horror,,4
This Christmas,49778552,Nov 21 2007,PG-13,Drama,55,5.4
The Core,74132631,Mar 28 2003,PG-13,Action,42,5.3
The Thomas Crown Affair,124304264,Aug 06 1999,R,Drama,67,6.7
The Damned United,4054204,Oct 09 2009,R,Drama,94,7.5
The Tale of Despereaux,88717945,Dec 19 2008,G,Adventure,55,6.1
Team America: World Police,50274834,Oct 15 2004,R,Comedy,,7.3
Tea with Mussolini,14395874,May 14 1999,PG,Drama,67,6.7
Tears of the Sun,85632458,Mar 07 2003,R,Action,34,6.4
Not Another Teen Movie,62401343,Dec 14 2001,R,Comedy,28,5.5
Bridge to Terabithia,136934139,Feb 16 2007,PG,Drama,85,7.4
Terminator 3: Rise of the Machines,433058296,Jul 01 2003,R,Action,,6.6
Terminator Salvation: The Future Begins,371628539,May 21 2009,PG-13,Action,,
Transformers,708272592,Jul 03 2007,PG-13,Action,57,7.3
Transformers: Revenge of the Fallen,836303693,Jun 24 2009,PG-13,Action,20,6
"The Goods: Live Hard, Sell Hard",15122676,Aug 14 2009,R,Comedy,26,
The Beach,39778599,Feb 11 2000,R,Drama,19,4.5
The Wild Thornberrys,60694737,Dec 20 2002,PG,Adventure,,6.7
The Fog,37048526,Oct 14 2005,PG-13,Horror,5,3.3
The Thin Red Line,36400491,Dec 23 1998,R,Drama,78,7.5
Thirteen Days,66554547,Dec 25 2000,PG-13,Drama,82,7.3
The Kid,69688384,Jul 07 2000,PG,Comedy,49,5.9
House on Haunted Hill,40846082,Oct 29 1999,R,Horror,25,5.2
The One,43905746,Nov 02 2001,PG-13,Action,13,5.6
The 13th Warrior,61698899,Aug 27 1999,R,Action,33,6.3
The Tuxedo,50586000,Sep 27 2002,PG-13,Action,22,5
The Tigger Movie,55159800,Feb 11 2000,G,Adventure,61,6
Titan A.E.,36751979,Jun 16 2000,PG,Adventure,51,6.4
Titanic,1842879955,Dec 19 1997,PG-13,Thriller/Suspense,82,7.4
The League of Extraordinary Gentlemen,179265204,Jul 11 2003,PG-13,Adventure,17,5.5
The Time Machine,98983590,Mar 08 2002,PG-13,Adventure,28,5.6
The Mist,54777490,Nov 21 2007,R,Horror,73,7.4
TMNT,95009888,Mar 23 2007,PG,Action,,6.6
Tomorrow Never Dies,339504276,Dec 19 1997,PG-13,Action,55,6.4
The Royal Tenenbaums,71430876,Dec 14 2001,R,Black Comedy,79,7.6
Lara Croft: Tomb Raider: The Cradle of Life,156453758,Jul 25 2003,PG-13,Adventure,,5.2
Lara Croft: Tomb Raider,274644183,Jun 15 2001,PG-13,Adventure,,5.4
The Day After Tomorrow,544272402,May 28 2004,PG-13,Adventure,46,6.3
The Others,209947037,Aug 10 2001,PG-13,Horror,84,7.8
The Town,33180607,Sep 17 2010,R,Drama,84,8.7
Toy Story 2,484966906,Nov 19 1999,G,Adventure,100,8
Toy Story 3,1046340665,Jun 18 2010,G,Adventure,99,8.9
The Taking of Pelham 123,148989667,Jun 12 2009,R,Action,,6.5
Treasure Planet,91800000,Nov 27 2002,PG,Adventure,69,6.6
Traffic,208300000,Dec 27 2000,R,Drama,91,7.8
Training Day,104505362,Oct 05 2001,R,Drama,72,7.6
Traitor,27664173,Aug 27 2008,PG-13,Thriller/Suspense,61,7.1
The Ring,249094024,Oct 18 2002,PG-13,Horror,71,5.5
The Terminal,218673959,Jun 18 2004,PG-13,Drama,60,7.1
The Transporter,43928932,Oct 11 2002,PG-13,Action,53,6.6
Tropic Thunder,188163455,Aug 13 2008,R,Comedy,83,7.2
Troy,497398577,May 14 2004,R,Action,54,7
xXx,267200000,Aug 09 2002,PG-13,Action,48,5.5
The Truman Show,248400000,Jun 05 1998,PG,Drama,95,8
Tarzan,448191819,Jun 16 1999,G,Adventure,88,6.9
Turistas,14321070,Dec 01 2006,R,Thriller/Suspense,,6.9
Twisted,40119848,Feb 27 2004,R,Thriller/Suspense,2,4.8
The Twilight Saga: New Moon,702623634,Nov 20 2009,PG-13,Drama,28,
The Twilight Saga: Eclipse,688155447,Jun 30 2010,PG-13,Drama,51,
Twilight,396439854,Nov 21 2008,PG-13,Drama,50,6.1
The Texas Chainsaw Massacre: The Beginning,50517763,Oct 06 2006,R,Horror,,5.8
The Texas Chainsaw Massacre,107071655,Oct 17 2003,R,Horror,36,6.1
Tom yum goong,43044087,Sep 08 2006,R,Action,,6.9
U2 3D,22664070,Jan 23 2008,G,Concert/Performance,,8.3
U-571,127630030,Apr 21 2000,PG-13,Action,68,6.4
Undercover Brother,38230435,May 31 2002,PG-13,Comedy,76,5.7
Dodgeball: A True Underdog Story,167726736,Jun 18 2004,PG-13,Comedy,,6.6
Unaccompanied Minors,21949214,Dec 08 2006,PG,Comedy,,3.7
Unbreakable,248099143,Nov 22 2000,PG-13,Thriller/Suspense,68,7.3
Underworld,95708457,Sep 19 2003,R,Action,30,6.7
Unfaithful,119114494,May 08 2002,R,Drama,48,6.6
Up,731304609,May 29 2009,PG,Adventure,98,8.4
Urban Legend,72571864,Sep 25 1998,R,Horror,21,5.2
Urban Legends: Final Cut,38574362,Sep 22 2000,R,Horror,9,3.7
Valkyrie,198686497,Dec 25 2008,PG-13,Thriller/Suspense,61,7.3
Valentine,20384136,Feb 02 2001,R,Horror,9,4.3
The Legend of Bagger Vance,39235486,Nov 03 2000,PG-13,Drama,43,6.4
In the Valley of Elah,24489150,Sep 14 2007,R,Drama,73,7.4
Venus,4022411,Dec 21 2006,R,Drama,89,
Van Helsing,300150546,May 07 2004,PG-13,Action,22,5.5
The Village,260197520,Jul 30 2004,PG-13,Thriller/Suspense,42,6.6
Vertical Limit,213500000,Dec 08 2000,PG-13,Action,47,5.6
Vampires,20268825,Oct 30 1998,R,Horror,33,6.8
Vanilla Sky,202726605,Dec 14 2001,R,Thriller/Suspense,39,6.9
The Flintstones in Viva Rock Vegas,59431365,Apr 28 2000,PG,Comedy,24,3.3
Varsity Blues,54294169,Jan 15 1999,R,Drama,39,6
Wag the Dog,64252038,Dec 25 1997,R,Drama,84,7
Waiting...,16285543,Oct 07 2005,R,Comedy,30,
Waking Ned Devine,55193251,Nov 20 1998,PG,Comedy,82,
WALL-E,532743103,Jun 27 2008,G,Comedy,96,8.5
War,40666994,Aug 24 2007,R,Action,,6.2
Red Cliff,119627047,Nov 20 2009,R,Action,,
The War of the Worlds,591745532,Jun 29 2005,PG-13,Action,,7.2
Winter's Bone,5951693,Jun 11 2010,R,Drama,95,8.2
Wonder Boys,33422485,Feb 23 2000,R,Comedy,81,7.5
White Chicks,111448997,Jun 23 2004,PG-13,Comedy,15,5
The Wedding Planner,94728529,Jan 26 2001,PG-13,Romantic Comedy,16,4.8
Taking Woodstock,10061080,Aug 26 2009,R,Drama,48,6.8
The Wedding Crashers,283218368,Jul 15 2005,R,Comedy,,
We Own the Night,54700285,Oct 12 2007,R,Drama,56,7
We Were Soldiers,114658262,Mar 01 2002,R,Drama,62,6.9
What a Girl Wants,35990505,Apr 04 2003,PG,Comedy,34,5.7
Where the Heart Is,40862054,Apr 28 2000,PG-13,Drama,34,6.4
Welcome Home Roscoe Jenkins,43607627,Feb 08 2008,PG-13,Comedy,23,4.5
What Dreams May Come,71485043,Oct 02 1998,PG-13,Drama,55,6.6
The White Countess,2814566,Dec 21 2005,PG-13,Drama,51,6.5
Where the Wild Things Are,99123656,Oct 16 2009,PG,Adventure,73,7.2
Wild Things,55576699,Mar 20 1998,R,Thriller/Suspense,64,6.6
Windtalkers,77628265,Jun 14 2002,R,Action,32,5.8
What Lies Beneath,288693989,Jul 21 2000,PG-13,Thriller/Suspense,45,6.5
Walk the Line,184319402,Nov 18 2005,PG-13,Drama,82,7.9
A Walk to Remember,46060915,Jan 25 2002,PG,Drama,28,7.1
Wild Wild West,222105681,Jun 30 1999,PG-13,Adventure,21,4.3
White Noise,92094360,Jan 07 2005,PG-13,Drama,9,
Wanted,340934768,Jun 27 2008,R,Action,71,6.4
The Women,50042410,Sep 12 2008,PG-13,Comedy,13,7.9
The Wood,25059640,Jul 16 1999,R,Comedy,61,6.1
Without a Paddle,65121280,Aug 20 2004,PG-13,Comedy,15,5.7
What's the Worst That Could Happen?,38462071,Jun 01 2001,PG-13,Comedy,10,5
The Wrestler,43236603,Dec 17 2008,R,Drama,98,8.2
Walking Tall,47313824,Apr 02 2004,PG-13,Action,25,6
The Watcher,47267829,Sep 08 2000,R,Thriller/Suspense,10,3.7
Sky Captain and the World of Tomorrow,49730854,Sep 17 2004,PG,Adventure,72,6.3
The Waterboy,190191646,Nov 06 1998,PG-13,Comedy,32,5.7
What Women Want,372100000,Dec 15 2000,PG-13,Romantic Comedy,53,6.3
The X-Files: I Want to Believe,68369434,Jul 25 2008,PG-13,Action,,5.9
The X Files: Fight the Future,189176423,Jun 19 1998,PG-13,Action,,
X-Men,334627820,Jul 14 2000,PG-13,Action,82,7.4
X2,407711549,May 02 2003,PG-13,Action,,7.8
The Divine Secrets of the Ya-Ya Sisterhood,73826768,Jun 07 2002,PG-13,Comedy,,
Year One,57604723,Jun 19 2009,PG-13,Comedy,14,5
Yes Man,225990976,Dec 19 2008,PG-13,Comedy,43,7
You Kill Me,2426851,Jun 22 2007,R,Black Comedy,78,6.7
"Yours, Mine and Ours",72359917,Nov 23 2005,PG,Comedy,,7.6
You've Got Mail,250800000,Dec 18 1998,PG,Drama,68,6.2
Zathura,58545540,Nov 11 2005,PG,Adventure,75,
Zoolander,60780981,Sep 28 2001,PG-13,Comedy,62,6.4
Zombieland,98690286,Oct 02 2009,R,Comedy,89,7.8
Zack and Miri Make a Porno,36851125,Oct 31 2008,R,Comedy,65,7
Zodiac,83080084,Mar 02 2007,R,Thriller/Suspense,89,
The Legend of Zorro,141475336,Oct 28 2005,PG,Adventure,26,5.7
The Mask of Zorro,233700000,Jul 17 1998,PG-13,Adventure,82,6.7