Date,Ambato,Cuenca,Esmeraldas,Guayaquil,Manta,Quito,Tena,San Cristóbal,Ibarra
01/01/07,4.92,4.66,7.34,6.74,4.73,6.2,6.34,0,5.82
01/01/08,3.3,3.68,7.64,9.16,5.98,5.44,3.9,0,5.61
01/01/09,3.47,4.06,10.32,11.57,7.58,6.13,18.03,0,5.56
01/01/10,2.54,2.86,12.42,7.49,7.57,5.75,2.24,0,5.86
01/01/11,1.98,3.42,6.54,5.96,2.51,3.28,6.76,0,5.91
01/01/12,2.8,3.42,5.21,4.97,4.63,4.47,5.08,0,1.89
01/01/13,2.76,3.19,10.7,5.53,4.05,3.99,6.21,0,6.46
01/01/14,3.31,2.21,8.8,4.04,5.31,3.31,3,2.8,6.14
01/01/15,4.87,3.28,11.11,4.89,7.83,5.23,4.92,2.78,5.5
01/01/16,5,3.79,11.97,6.76,4.04,8.65,3.66,3.16,6.66
01/01/17,4.58,5.29,10.63,4.57,3.37,8.25,3.31,0.78,5.81
01/01/18,3.15,4.22,9.91,2.84,4,7.91,3.95,1.09,5.96
01/01/19,3.6,3.05,14.05,2.9,4.97,6.76,2.68,2.5,4.09
01/01/20,9.74,8.98,24.67,6,10.75,14.18,3.11,20,8.11